Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,60,RL,65.0,8450,Pave,,Reg,Lvl,AllPub,Inside,3,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,0,0,PConc,0,0,1.0,6.0,706,1.0,0,150,856,GasA,0,Y,SBrkr,856,854,0,1710,1,0,2,1,3,1,0,8,8,0,0,Attchd,2003.0,2.0,2,548,0,0,2,0,61,0,0,0,0,0,0,,0,2,2008,WD,Normal,12.24769911637256
2,20,RL,80.0,9600,Pave,,Reg,Lvl,AllPub,FR2,3,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,,0.0,0,0,CBlock,0,0,4.0,5.0,978,1.0,0,284,1262,GasA,0,Y,SBrkr,1262,0,0,1262,0,1,2,0,3,1,0,6,8,1,0,Attchd,1976.0,2.0,2,460,0,0,2,298,0,0,0,0,0,0,0,,0,5,2007,WD,Normal,12.109016442313738
3,60,RL,68.0,11250,Pave,,IR1,Lvl,AllPub,Inside,3,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,0,0,PConc,0,0,2.0,6.0,486,1.0,0,434,920,GasA,0,Y,SBrkr,920,866,0,1786,1,0,2,1,3,1,0,6,8,1,0,Attchd,2001.0,2.0,2,608,0,0,2,0,42,0,0,0,0,0,0,,0,9,2008,WD,Normal,12.317171167298682
4,70,RL,60.0,9550,Pave,,IR1,Lvl,AllPub,Corner,3,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,,0.0,0,0,BrkTil,0,0,1.0,5.0,216,1.0,0,540,756,GasA,0,Y,SBrkr,961,756,0,1717,1,0,1,0,3,1,0,7,8,1,0,Detchd,1998.0,1.0,3,642,0,0,2,0,35,272,0,0,0,0,0,,0,2,2006,WD,Abnorml,11.849404844423074
5,60,RL,84.0,14260,Pave,,IR1,Lvl,AllPub,FR2,3,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,0,0,PConc,0,0,3.0,6.0,655,1.0,0,490,1145,GasA,0,Y,SBrkr,1145,1053,0,2198,1,0,2,1,4,1,0,9,8,1,0,Attchd,2000.0,2.0,3,836,0,0,2,192,84,0,0,0,0,0,0,,0,12,2008,WD,Normal,12.429220196836384
6,50,RL,85.0,14115,Pave,,IR1,Lvl,AllPub,Inside,3,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,,0.0,0,0,Wood,0,0,1.0,6.0,732,1.0,0,64,796,GasA,0,Y,SBrkr,796,566,0,1362,1,0,1,1,1,1,0,5,8,0,0,Attchd,1993.0,1.0,2,480,0,0,2,40,30,0,320,0,0,0,3,Shed,700,10,2009,WD,Normal,11.870606902224589
7,20,RL,75.0,10084,Pave,,Reg,Lvl,AllPub,Inside,3,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,0,0,PConc,0,0,3.0,6.0,1369,1.0,0,317,1686,GasA,0,Y,SBrkr,1694,0,0,1694,1,0,2,0,3,1,0,7,8,1,0,Attchd,2004.0,2.0,2,636,0,0,2,255,57,0,0,0,0,0,0,,0,8,2007,WD,Normal,12.63460628389302
8,60,RL,80.0,10382,Pave,,IR1,Lvl,AllPub,Corner,3,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,0,0,CBlock,0,0,2.0,5.0,859,4.0,32,216,1107,GasA,0,Y,SBrkr,1107,983,0,2090,1,0,2,1,3,1,0,7,8,2,0,Attchd,1973.0,2.0,2,484,0,0,2,235,204,228,0,0,0,0,0,Shed,350,11,2009,WD,Normal,12.206077645517674
9,50,RM,51.0,6120,Pave,,Reg,Lvl,AllPub,Inside,3,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,,0.0,0,0,BrkTil,0,0,1.0,1.0,0,1.0,0,952,952,GasA,0,Y,FuseF,1022,752,0,1774,0,0,2,0,2,2,0,8,7,2,0,Detchd,1931.0,1.0,2,468,0,0,2,90,0,205,0,0,0,0,0,,0,4,2008,WD,Abnorml,11.774527900858468
10,190,RL,50.0,7420,Pave,,Reg,Lvl,AllPub,Corner,3,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,0,0,BrkTil,0,0,1.0,6.0,851,1.0,0,140,991,GasA,0,Y,SBrkr,1077,0,0,1077,1,0,1,0,2,2,0,5,8,2,0,Attchd,1939.0,2.0,1,205,0,0,2,0,4,0,0,0,0,0,0,,0,1,2008,WD,Normal,11.678448377988165
